sequenceID	lineage	clade
FV537222	-	-
FV537223	-	-
FV537224	-	-
FV537225	-	-
KJ831223	-	-
OK572999	-	-
OK573260	-	-
OK573263	-	-
OK573277	-	-
OM202904	-	-
OM202905	-	-
OM202906	-	-
OM202907	-	-
OM202909	-	-
OM202910	-	-
OM202911	-	-
OM202913	-	-
OM202915	-	-
OM202917	-	-
OM202919	-	-
OM202920	-	-
OM202923	-	-
OM202924	-	-
OM202929	-	-
OM202932	-	-
OM202933	-	-
OM202936	-	-
AF202541	1	A
AF206518	1	A
AF317203	1	A
AJ965626	1	A
AJ965628	1	A
AJ965629	1	A
AJ965630	1	A
AM404308	1	A
AY262283	1	A
AY268132	1	A
AY268133	1	A
AY277252	1	A
AY278441	1	A
AY278442	1	A
AY701412	1	A
AY701413	1	A
D00246	1	B
DQ080057	1	A
DQ080060	1	A
DQ080061	1	A
DQ080063	1	A
DQ080065	1	A
DQ080069	1	A
DQ080071	1	A
DQ080072	1	A
DQ118127	1	A
DQ176637	1	A
DQ374650	1	A
DQ374651	1	A
DQ374652	1	A
DQ374653	1	A
DQ377178	1	A
DQ377179	1	A
DQ377180	1	A
DQ411029	1	A
DQ411030	1	A
DQ411031	1	A
DQ411032	1	A
DQ411033	1	A
DQ411034	1	A
DQ411035	1	A
DQ431693	1	A
DQ431694	1	A
DQ431695	1	A
DQ431696	1	A
DQ431697	1	A
DQ431698	1	A
DQ431699	1	A
DQ431700	1	A
DQ431701	1	A
DQ431702	1	A
DQ431703	1	A
DQ431704	1	A
DQ431705	1	A
DQ431706	1	A
DQ431707	1	A
DQ431708	1	A
DQ431709	1	A
DQ431710	1	A
DQ431711	1	A
DQ431712	1	A
DQ786572	1	A
DQ786573	1	A
DQ983578	1	A
EU155484	1	A
FJ766331	1	A
FJ766332	1	A
GQ507468	1	A
GQ507469	1	A
GQ507470	1	A
GQ507471	1	A
GQ507472	1	A
GQ507473	1	A
GQ507474	1	A
GQ507475	1	A
GQ507476	1	A
GQ507477	1	A
GQ507478	1	A
GQ507479	1	A
GQ507480	1	A
GQ507481	1	A
GQ507482	1	A
GQ507483	1	A
GQ507484	1	A
GQ851603	1	B
GQ851606	1	A
GQ851607	1	A
GQ851608	1	A
GU827998	1	A
GU827999	1	A
GU828000	1	A
GU828001	1	A
GU828002	1	A
GU828003	1	A
GU828004	1	A
HG994351	1	A
HG994352	1	A
HG994353	1	A
HG994354	1	A
HH961658	1	A
HM152775	1	A
HM488115	1	A
HM488116	1	A
HM488117	1	A
HM488118	1	A
HM488119	1	A
HM488120	1	A
HM488121	1	A
HM488122	1	A
HM488123	1	A
HM488124	1	A
HM488125	1	A
HM488126	1	A
HM488127	1	A
HM488128	1	A
HM488129	1	A
HM488130	1	A
HM488131	1	A
HM488132	1	A
HM488133	1	A
HM488134	1	A
HM488135	1	A
HM488136	1	A
HM488137	1	A
HM488138	1	A
HM488139	1	A
HM488140	1	A
HM488141	1	A
HM488142	1	A
HM488143	1	A
HM488145	1	A
HM488146	1	A
HM488147	1	A
HM488148	1	A
HM488149	1	A
HM488150	1	A
HM488151	1	A
HM488152	1	A
HM488153	1	A
HM488154	1	A
HM488155	1	A
HM488156	1	A
HM488157	1	A
HM488158	1	A
HM488159	1	A
HM488160	1	A
HM488161	1	A
HM488162	1	A
HM488163	1	A
HM488164	1	A
HM488165	1	A
HM488166	1	A
HM488167	1	A
HM488168	1	A
HM488169	1	A
HM488170	1	A
HM488171	1	A
HM488172	1	A
HM488173	1	A
HM488174	1	A
HM488175	1	A
HM488177	1	A
HM488178	1	A
HM488179	1	A
HM488180	1	A
HM488181	1	A
HM488182	1	A
HM488183	1	A
HM488184	1	A
HM488185	1	A
HM488186	1	A
HM488187	1	A
HM488188	1	A
HM488189	1	A
HM488190	1	A
HM488191	1	A
HM488192	1	A
HM488193	1	A
HM488194	1	A
HM488195	1	A
HM488196	1	A
HM488197	1	A
HM488198	1	A
HM488199	1	A
HM488200	1	A
HM488201	1	A
HM488202	1	A
HM488203	1	A
HM488204	1	A
HM488205	1	A
HM488206	1	A
