sequenceID	Downsample
HM488126	TRUE
HQ671706	TRUE
HQ671707	TRUE
HM488125	TRUE
MZ605381	TRUE
MH166903	TRUE
HQ671710	TRUE
HM488130	TRUE
MH166904	TRUE
KX547519	TRUE
KJ501246	TRUE
KJ501234	TRUE
KJ501453	TRUE
KJ501465	TRUE
GQ379156	TRUE
KJ501484	TRUE
KJ501291	TRUE
KX547429	TRUE
KX547525	TRUE
KJ501501	TRUE
KJ501203	TRUE
HM488216	TRUE
KJ501459	TRUE
HM488225	TRUE
DQ431697	TRUE
OQ721257	TRUE
MH507897	TRUE
HM756673	TRUE
KX547379	TRUE
OQ721584	TRUE
KX547360	TRUE
KY782112	TRUE
OQ721812	TRUE
KX547596	TRUE
OQ721820	TRUE
OQ721575	TRUE
HM488157	TRUE
MH507930	TRUE
JN183888	TRUE
KX547250	TRUE
KX547195	TRUE
JF957171	TRUE
MH507843	TRUE
OQ721841	TRUE
JF920742	TRUE
MH507629	TRUE
KJ501097	TRUE
OQ721531	TRUE
OQ721402	TRUE
KX547183	TRUE
KX547214	TRUE
MH507857	TRUE
KX547430	TRUE
MH170259	TRUE
MH507611	TRUE
KX547361	TRUE
MH508003	TRUE
KJ501136	TRUE
MH166916	TRUE
MH507768	TRUE
KX547416	TRUE
JQ700439	TRUE
MH508025	TRUE
MH507877	TRUE
JQ700441	TRUE
OQ721247	TRUE
KX547168	TRUE
KX547278	TRUE
MH507729	TRUE
MF175815	TRUE
MF175829	TRUE
KX547344	TRUE
MH507655	TRUE
OQ721154	TRUE
KX547460	TRUE
OQ721519	TRUE
OM202921	TRUE
MF175832	TRUE
MH508032	TRUE
MG004533	TRUE
MH507975	TRUE
MH507973	TRUE
OQ721571	TRUE
MH507679	TRUE
MH507967	TRUE
OQ721628	TRUE
OQ721817	TRUE
OQ721427	TRUE
OQ721550	TRUE
OQ721702	TRUE
MH507753	TRUE
MT967993	TRUE
MT968024	TRUE
OQ721152	TRUE
OQ721477	TRUE
OQ721359	TRUE
OQ721261	TRUE
MT968030	TRUE
OQ721644	TRUE
OQ721810	TRUE
MN849176	TRUE
ON994909	TRUE
OQ721229	TRUE
OQ721706	TRUE
OQ721757	TRUE
OQ721417	TRUE
OQ721264	TRUE
ON994910	TRUE
