sequenceID	patent-associated
FV537222	yes
FV537223	yes
FV537224	yes
FV537225	yes
FW376249	yes
FW376250	yes
FW376251	yes
FW376252	yes
FW376253	yes
FW376254	yes
FW376255	yes
FW376256	yes
FW376257	yes
GM968054	yes
GM968056	yes
GM968057	yes
GM968059	yes
GM968060	yes
GM968061	yes
GM968063	yes
GM968065	yes
GM968067	yes
HC467785	yes
HC467786	yes
HC467787	yes
HC467788	yes
HC467789	yes
HC467790	yes
HC467791	yes
HC467792	yes
HC467793	yes
HC467794	yes
HC467795	yes
HC467796	yes
HC467797	yes
HC467798	yes
HC467799	yes
HC467800	yes
HC467801	yes
HC467802	yes
HC467803	yes
HC467804	yes
HC467805	yes
HC467806	yes
HH961662	yes
HH961664	yes
HV572290	yes
HV572291	yes
HV572292	yes
HV572293	yes
HV572294	yes
HV572295	yes
HV572296	yes
HV572297	yes
HV572298	yes
HV572299	yes
HV572300	yes
HV572301	yes
HV572302	yes
HV572303	yes
HV572304	yes
HV572305	yes
HV572306	yes
HV572307	yes
HV572308	yes
HV572309	yes
HV572310	yes
HV572311	yes
HW816170	yes
HW816171	yes
HW816172	yes
HW816173	yes
HW816174	yes
HW816175	yes
HW816176	yes
HW816177	yes
HW816178	yes
HW816179	yes
HW816180	yes
HW816181	yes
HW816182	yes
HW816183	yes
HW816184	yes
HW816185	yes
HW816186	yes
HW816187	yes
HW816188	yes
HW816189	yes
HW816190	yes
HW816191	yes
LQ868182	yes
LQ868183	yes
LQ868184	yes
LQ868185	yes
LQ868186	yes
LQ868187	yes
LQ868188	yes
LQ868189	yes
LQ868190	yes
LQ868191	yes
