sequenceID	lineage	clade	length	pubmed_id	isolate_data.country	isolate_data.place_sampled	isolate_data.sampled_host_sci_name	isolate_data.collection_year	isolate_data.collection_month	isolate_data.collection_month_day
AF202541	1	A	10945	10622305	USA	New York	-	-	-	-
AF206518	1	A	10975	10600741	USA	"Connecticut, Greenwich-Stanford town line"	Culex pipiens	-	-	-
AF317203	1	A	10972	-	Russia	Volgograd	Homo sapiens	-	-	-
AJ965626	1	A	10979	16417437	-	-	-	-	-	-
AJ965628	1	A	10977	16417437	-	-	-	-	-	-
AJ965629	1	A	6958	16417437	-	-	-	-	-	-
AJ965630	1	A	6958	16417437	-	-	-	-	-	-
AM404308	1	A	10979	17896871	Portugal	-	-	-	-	-
AY262283	1	A	10984	14585341	-	-	Culex univittatus	-	-	-
AY268132	1	A	10989	14585341	-	-	-	-	-	-
AY268133	1	A	10989	14585341	-	-	-	-	-	-
AY277251	4	-	10741	15119764	Russia	-	Dermacentor marginatus	-	-	-
AY277252	1	A	10845	-	Russia	"Volgograd, low Volga"	-	-	-	-
AY278441	1	A	10998	-	Russia	"Astrakhan, Volga delta"	-	-	-	-
AY278442	1	A	10842	-	Russia	"Volgograd, low Volga"	-	-	-	-
AY701412	1	A	10945	15752452	Morocco	-	Equus caballus	1996	-	-
AY701413	1	A	10945	15752452	Morocco	-	Equus caballus	2003	-	-
D00246	1	B	10664	2826659	-	-	-	-	-	-
DQ080057	1	A	10956	16494762	USA	"Los Angeles, California"	Crow	-	-	-
DQ080060	1	A	10972	16494762	Mexico	Baja Calfornia Norte	Raven	-	-	-
DQ080061	1	A	11000	16494762	USA	Louisiana	Cardinal	-	-	-
DQ080063	1	A	10975	16494762	Mexico	Baja Calfornia Norte	Pigeon	-	-	-
DQ080065	1	A	10995	16494762	Mexico	Baja Calfornia Norte	Grackel	-	-	-
DQ080069	1	A	10975	16494762	Mexico	Tamaulipas	Equus caballus	-	-	-
DQ080071	1	A	11000	16494762	Mexico	Florida	Equus caballus	-	-	-
DQ080072	1	A	11000	16494762	USA	Florida	Catbird	-	-	-
DQ118127	1	A	10969	16704810	Hungary	-	goose	-	-	-
DQ176636	-	-	10866	16973548	Madagascar	-	-	1978	-	-
DQ176637	1	A	10678	16973548	USA	"Hall County, Texas"	-	-	-	-
DQ374650	1	A	10811	-	Russia	-	Phalacrocorax carbo (L.).	-	-	-
DQ374651	1	A	10811	-	Russia	-	Pica pica	-	-	-
DQ374652	1	A	10789	-	Russia	-	Corvus corone	-	-	-
DQ374653	1	A	10811	-	Russia	-	Corvus corone	-	-	-
DQ377178	1	A	10811	-	Russia	-	Hyalomma marginatum	-	-	-
DQ377179	1	A	10811	-	Russia	-	Corvus frugilegus	-	-	-
DQ377180	1	A	10811	-	Russia	-	Phalacrocorax carbo	-	-	-
DQ411029	1	A	10811	-	Russia	-	Phalacrocorax carbo	-	-	-
DQ411030	1	A	10811	-	Russia	-	Hyalomma Marginatum	-	-	-
DQ411031	1	A	10811	-	Russia	-	Corvus corone	-	-	-
DQ411032	1	A	10811	-	Russia	-	Columba livia	-	-	-
DQ411033	1	A	10811	-	Russia	-	Phalacrocorax carbo	-	-	-
DQ411034	1	A	10811	-	Russia	-	Anopheles messeae	-	-	-
DQ411035	1	A	10811	-	Russia	-	Anopheles messeae	-	-	-
DQ431693	1	A	10520	17321561	USA	Texas	Homo sapiens	2003	-	-
DQ431694	1	A	10520	17321561	USA	Texas	Homo sapiens	2003	-	-
DQ431695	1	A	10520	17321561	USA	Illinois	Homo sapiens	2003	-	-
DQ431696	1	A	10520	17321561	USA	Wisconsin	Homo sapiens	2003	-	-
DQ431697	1	A	10520	17321561	USA	Florida	Homo sapiens	2003	-	-
DQ431698	1	A	10520	17321561	USA	Florida	Homo sapiens	2003	-	-
DQ431699	1	A	10520	17321561	USA	Florida	Homo sapiens	2003	-	-
DQ431700	1	A	10480	17321561	USA	California	Homo sapiens	2004	-	-
DQ431701	1	A	10520	17321561	USA	Colorado	Homo sapiens	2004	-	-
DQ431702	1	A	10520	17321561	USA	Colorado	Homo sapiens	2004	-	-
DQ431703	1	A	10520	17321561	USA	Colorado	Homo sapiens	2004	-	-
DQ431704	1	A	10521	17321561	USA	Colorado	Homo sapiens	2004	-	-
DQ431705	1	A	10840	17321561	USA	North Dakota	Homo sapiens	2004	-	-
DQ431706	1	A	10843	17321561	USA	New Mexico	Homo sapiens	2004	-	-
DQ431707	1	A	10520	17321561	USA	New Mexico	Homo sapiens	2004	-	-
DQ431708	1	A	10521	17321561	USA	California	Homo sapiens	2004	-	-
DQ431709	1	A	10521	17321561	USA	California	Homo sapiens	2004	-	-
DQ431710	1	A	10846	17321561	USA	California	Homo sapiens	2004	-	-
DQ431711	1	A	10520	17321561	USA	Arizona	Homo sapiens	2004	-	-
DQ431712	1	A	10520	17321561	USA	Arizona	Homo sapiens	2004	-	-
DQ786572	1	A	10938	17767404	France	-	house sparrow (passer domesticus) passage #1	2004	OCT	18
DQ786573	1	A	10938	17767404	France	-	common magpie (Pica pica) passage #2	2004	OCT	21
DQ983578	1	A	10988	-	USA	"Florida, Indian River County"	Culex nigripalpus	-	-	-
EU068667	2	-	10305	17694056	South Africa	-	-	-	-	-
EU155484	1	A	10822	15070997	USA	-	-	-	-	-
FJ159130	4	-	10845	-	Russia	Volgograd	Uranotaenia unguiculata (mosquito)	2005	-	-
FJ159131	4	-	10845	-	Russia	Volgograd	Uranotaenia unguiculata (mosquito)	2005	-	-
FJ425721	2	-	10980	-	Russia	Volgograd	Homo sapiens	2007	-	-
FJ766331	1	A	10960	19833373	Spain	-	Aquila chrysaetos (golden eagle)	2007	-	-
FJ766332	1	A	10961	19833373	Spain	-	Aquila chrysaetos (golden eagle)	2007	-	-
FV537222	-	-	10962	-	-	-	-	-	-	-
FV537223	-	-	10962	-	-	-	-	-	-	-
FV537224	-	-	10962	-	-	-	-	-	-	-
FV537225	-	-	10962	-	-	-	-	-	-	-
GQ507468	1	A	10500	22927414	USA	-	Homo sapiens	2005	AUG	3
GQ507469	1	A	10500	22927414	USA	-	Homo sapiens	2005	SEP	1
GQ507470	1	A	10500	22927414	USA	-	Homo sapiens	2006	AUG	30
GQ507471	1	A	10825	22927414	USA	-	Homo sapiens	2007	JUN	23
GQ507472	1	A	10825	22927414	USA	-	Homo sapiens	2003	JUL	14
GQ507473	1	A	10825	22927414	USA	-	Homo sapiens	2004	JUL	24
GQ507474	1	A	10825	22927414	USA	-	Homo sapiens	2004	AUG	27
