taxon	sequenceID	isolate	country	collection_year	sampled_host_sci_name	combined-iso-details	lineage	clade	combined
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AF317203	AF317203	VLG-4	Russia	-	Homo sapiens	Russia/-/Homo sapiens	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AJ965626	AJ965626	PT6.16	Portugal	-	-	Portugal/-/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AJ965628	AJ965628	PT5.2	Portugal	-	-	Portugal/-/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AJ965629	AJ965629	PT6.5	Portugal	-	-	Portugal/-/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AJ965630	AJ965630	PT6.39	Portugal	-	-	Portugal/-/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AM404308	AM404308	PTRoxo	Portugal	-	-	Portugal/-/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AY277252	AY277252	LEIV-Vlg99-27889	Russia	-	-	Russia/-/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AY278441	AY278441	Ast99-901	Russia	-	-	Russia/-/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AY278442	AY278442	LEIV-Vlg00-27924	Russia	-	-	Russia/-/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AY701412	AY701412	96-111	Morocco	1996	Equus caballus	Morocco/1996/Equus caballus	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/AY701413	AY701413	04.05	Morocco	2003	Equus caballus	Morocco/2003/Equus caballus	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ080060	DQ080060	WNVCc	Mexico	-	Corvus corax	Mexico/-/Corvus corax	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ080063	DQ080063	TVP9223	Mexico	-	Columba livia	Mexico/-/Columba livia	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ080065	DQ080065	TVP9221	Mexico	-	Grackel	Mexico/-/Grackel	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ080069	DQ080069	TVP9117	Mexico	-	Equus caballus	Mexico/-/Equus caballus	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ080071	DQ080071	FL234	Mexico	-	Equus caballus	Mexico/-/Equus caballus	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ118127	DQ118127	goose-Hungary/03	Hungary	-	Anser sp.	Hungary/-/Anser sp.	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ374650	DQ374650	Ast02-3-717	Russia	-	Phalacrocorax carbo (L.).	Russia/-/Phalacrocorax carbo (L.).	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ374651	DQ374651	Ast02-3-570	Russia	-	Pica pica	Russia/-/Pica pica	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ374652	DQ374652	Ast04-2-824A	Russia	-	Corvus corone	Russia/-/Corvus corone	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ374653	DQ374653	Ast02-2-25	Russia	-	Corvus corone	Russia/-/Corvus corone	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ377178	DQ377178	Ast02-2-26	Russia	-	Hyalomma marginatum	Russia/-/Hyalomma marginatum	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ377179	DQ377179	Ast02-2-298	Russia	-	Corvus frugilegus	Russia/-/Corvus frugilegus	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ377180	DQ377180	Ast02-3-208	Russia	-	Phalacrocorax carbo	Russia/-/Phalacrocorax carbo	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ411029	DQ411029	Ast01-66	Russia	-	Phalacrocorax carbo	Russia/-/Phalacrocorax carbo	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ411030	DQ411030	Ast01-182	Russia	-	Hyalomma Marginatum	Russia/-/Hyalomma Marginatum	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ411031	DQ411031	Ast01-187	Russia	-	Corvus corone	Russia/-/Corvus corone	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ411032	DQ411032	Ast02-3-146	Russia	-	Columba livia	Russia/-/Columba livia	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ411033	DQ411033	Ast02-3-165	Russia	-	Phalacrocorax carbo	Russia/-/Phalacrocorax carbo	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ411034	DQ411034	Ast02-2-691	Russia	-	Anopheles messeae	Russia/-/Anopheles messeae	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ411035	DQ411035	Ast02-2-692	Russia	-	Anopheles messeae	Russia/-/Anopheles messeae	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ431697	DQ431697	03-113FL	USA	2003	Homo sapiens	USA/2003/Homo sapiens	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ786572	DQ786572	France 405/04	France	2004	house sparrow (passer domesticus) passage #1	France/2004/house sparrow (passer domesticus) passage #1	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/DQ786573	DQ786573	France 407/04	France	2004	Pica pica	France/2004/Pica pica	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/FJ766331	FJ766331	GE-1b/B	Spain	2007	Aquila chrysaetos (golden eagle)	Spain/2007/Aquila chrysaetos (golden eagle)	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/FJ766332	FJ766332	GE-2o/V	Spain	2007	Aquila chrysaetos (golden eagle)	Spain/2007/Aquila chrysaetos (golden eagle)	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-refseqs/GQ379161	GQ379161	ArEq003	Argentina	2006	equine	Argentina/2006/equine	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/GQ851606	GQ851606	ArD27875	Senegal	1979	-	Senegal/1979/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/GQ851607	GQ851607	IBAN7019	Nigeria	1965	-	Nigeria/1965/-	1	A	1/A
alignment/AL_WNV_Lineage1A/member/ncbi-curated/GQ851608	GQ851608	ArB310/67	Central African Republic	1967	-	Central African Republic/1967/-	1	A	1/A
